district,year,month,area,NDVI_mean,NDVI_min,NDVI_max,EVI_mean,EVI_min,EVI_max,GNDVI_mean,GNDVI_min,GNDVI_max,SAVI_mean,SAVI_min,SAVI_max,NDMI_mean,NDMI_min,NDMI_max,NDBI_mean,NDBI_min,NDBI_max,NBR_mean,NBR_min,NBR_max,NDWI_mean,NDWI_min,NDWI_max,MSI_mean,MSI_min,MSI_max,SBI_mean,SBI_min,SBI_max,ARVI_mean,ARVI_min,ARVI_max,NDSI_mean,NDSI_min,NDSI_max,NDTI_mean,NDTI_min,NDTI_max,PSRI_mean,PSRI_min,PSRI_max,avg_muand/acer,yield
bahawalnagar,1999,5,597485.6745769472,0.1426132997123421,0.09156030789017675,0.3482115566730499,0.6835787429388223,0.4171102798680833,0.9999745195747136,0.17279441165679188,0.06087850779294965,0.3358986377716064,0.15687414641195485,0.10071602245936001,0.3830315609104026,0.02984446933293855,-0.0958468951284885,0.26329937577247614,-0.02984446933293855,-0.26329937577247614,0.0958468951284885,0.1024087604229947,-0.38586822897195816,0.33461619913578033,0.02984446933293855,-0.0958468951284885,0.26329937577247614,0.9441883690617838,0.5832700431346893,1.2122817635536194,15741.233682248814,9531.5,21455.375,0.1904342076057532,0.119011720465082,0.4750495014695811,-0.1436302035383458,-0.2804458290338516,0.1671080663800239,-0.1024087604229947,-0.33461619913578033,0.38586822897195816,0.0453321033743391,-0.05818129330873485,0.11848662048578255,16.48,542.64
bahawalnagar,1999,6,597485.6745769472,0.1426132997123421,0.09156030789017675,0.3482115566730499,0.6835787429388223,0.4171102798680833,0.9999745195747136,0.17279441165679188,0.06087850779294965,0.3358986377716064,0.15687414641195485,0.10071602245936001,0.3830315609104026,0.02984446933293855,-0.0958468951284885,0.26329937577247614,-0.02984446933293855,-0.26329937577247614,0.0958468951284885,0.1024087604229947,-0.38586822897195816,0.33461619913578033,0.02984446933293855,-0.0958468951284885,0.26329937577247614,0.9441883690617838,0.5832700431346893,1.2122817635536194,15741.233682248814,9531.5,21455.375,0.1904342076057532,0.119011720465082,0.4750495014695811,-0.1436302035383458,-0.2804458290338516,0.1671080663800239,-0.1024087604229947,-0.33461619913578033,0.38586822897195816,0.0453321033743391,-0.05818129330873485,0.11848662048578255,16.48,542.64
bahawalnagar,1999,7,597485.6745769472,0.1341615938799624,0.0915601998567581,0.3553241491317749,0.67360393250312,0.4171103513983074,0.999972845272362,0.1637100146475691,0.0550622940063476,0.3428358435630798,0.1475772905639266,0.1007158965160133,0.390855381763132,0.0256023278276291,-0.105780117213726,0.2740216255187988,-0.0256023278276291,-0.2740216255187988,0.105780117213726,0.0991124346286669,-0.2051783353090286,0.330498605966568,0.0256023278276291,-0.105780117213726,0.2740216255187988,0.9521774207133428,0.5698320269584656,1.236586332321167,15551.88859571096,9329.0,21647.5,0.1806158251824251,0.1188419900255443,0.4469274640533376,-0.1385815860104476,-0.290782481431961,0.171891301870346,-0.0991124346286669,-0.330498605966568,0.2051783353090286,0.0450008538350742,-0.0675262957811355,0.1275015622377395,16.48,542.64
bahawalnagar,1999,8,597485.6745769472,0.1510650055447218,0.0915604159235954,0.3410989642143249,0.6935535533745245,0.4171102083378592,0.9999761938770652,0.1818788086660147,0.0666947215795517,0.328961431980133,0.1661710022599831,0.1007161484027067,0.3752077400576731,0.034086610838248,-0.085913673043251,0.2525771260261535,-0.034086610838248,-0.2525771260261535,0.085913673043251,0.1057050862173225,-0.5665581226348877,0.3387337923049927,0.034086610838248,-0.085913673043251,0.2525771260261535,0.9361993174102248,0.5967080593109131,1.1879771947860718,15930.578768786669,9734.0,21263.25,0.2002525900290813,0.1191814509046197,0.5031715388858246,-0.148678821066244,-0.2701091766357422,0.1623248308897018,-0.1057050862173225,-0.3387337923049927,0.5665581226348877,0.045663352913604,-0.0488362908363342,0.1094716787338256,16.48,542.64
bahawalnagar,1999,9,597485.6745769472,0.1426132997123421,0.09156030789017675,0.3482115566730499,0.6835787429388223,0.4171102798680833,0.9999745195747136,0.17279441165679188,0.06087850779294965,0.3358986377716064,0.15687414641195485,0.10071602245936001,0.3830315609104026,0.02984446933293855,-0.0958468951284885,0.26329937577247614,-0.02984446933293855,-0.26329937577247614,0.0958468951284885,0.1024087604229947,-0.38586822897195816,0.33461619913578033,0.02984446933293855,-0.0958468951284885,0.26329937577247614,0.9441883690617838,0.5832700431346893,1.2122817635536194,15741.233682248814,9531.5,21455.375,0.1904342076057532,0.119011720465082,0.4750495014695811,-0.1436302035383458,-0.2804458290338516,0.1671080663800239,-0.1024087604229947,-0.33461619913578033,0.38586822897195816,0.0453321033743391,-0.05818129330873485,0.11848662048578255,16.48,542.64
bahawalnagar,2000,5,490268.9331207462,0.1119932536263291,0.0841236934065818,0.2337806075811386,0.5384834225887913,0.3845649207515482,0.9999693871303496,0.1522655316105481,0.0819291099905967,0.262680172920227,0.1231921907019048,0.0925357297295333,0.2571579326602574,-0.0096683502017532,-0.614978015422821,0.1913301348686218,0.0096683502017532,-0.1913301348686218,0.614978015422821,0.0554920431706209,-0.614978015422821,0.2440861761569976,-0.0096683502017532,-0.614978015422821,0.1913301348686218,1.0207174429193555,0.6787957549095154,4.1945085525512695,16093.47793323781,10942.0,39772.0,0.1617508031668512,0.1113431185899404,0.2830232456967183,-0.1616376585026935,-0.6931264996528625,0.0789485052227974,-0.0554920431706209,-0.2440861761569976,0.614978015422821,0.0629765600568859,-0.0156810637563467,0.12485072016716,21.4,710.69
bahawalnagar,2000,6,490268.9331207462,0.1044556319795061,0.0841238647699356,0.1992276012897491,0.6390460251254432,0.384574651168948,0.999953512156571,0.1305500696592512,0.0837269499897956,0.2192568182945251,0.1149008402597146,0.0925359868501642,0.2191497519106934,0.0211358307093596,-0.0412509851157665,0.117612600326538,-0.0211358307093596,-0.117612600326538,0.0412509851157665,0.0914257624735782,0.022786907851696,0.1859847158193588,0.0211358307093596,-0.0412509851157665,0.117612600326538,0.959224181980502,0.7895288467407227,1.0860517024993896,15847.990031392545,13182.0,18914.5,0.1456706079776062,0.1119214586255259,0.2412055207171718,-0.1097009162774968,-0.1856969445943832,-0.0083683589473366,-0.0914257624735782,-0.1859847158193588,-0.022786907851696,0.0419124386934635,-0.0029056628700345,0.0858779624104499,21.4,710.69
bahawalnagar,2000,7,490268.9331207462,0.1160791290476345,0.084124282002449,0.221730500459671,0.6513038299941947,0.3845654993514916,0.9999683404039764,0.1457322661546453,0.0750976502895355,0.2499201893806457,0.1276866477974815,0.0925364274650565,0.2439028541763002,0.021930529986891,-0.0678448677062988,0.2092119455337524,-0.021930529986891,-0.2092119455337524,0.0678448677062988,0.0896730288725104,-0.2576712667942047,0.2855896651744842,0.021930529986891,-0.0678448677062988,0.2092119455337524,0.9583827657395052,0.6539697647094727,1.145565629005432,15861.177011659294,10655.5,21007.5,0.1594876067799918,0.1104543634526283,0.2674485336315611,-0.1241459763398777,-0.2302994430065155,0.0970426276326179,-0.0896730288725104,-0.2855896651744842,0.2576712667942047,0.0465735897273201,-0.0309092048555612,0.1121239215135574,21.4,710.69
bahawalnagar,2000,8,490268.9331207462,0.149301227384596,0.0841239243745803,0.3623787760734558,0.6728198045133734,0.3845653446668257,0.9999735036167564,0.1834913156796296,0.0563290864229202,0.4088244438171386,0.1642308457947018,0.0925359967232742,0.3986155475629557,0.0230998999814577,-0.1541867554187774,0.2840169668197632,-0.0230998999814577,-0.2840169668197632,0.1541867554187774,0.1012060248762045,-0.1694848090410232,0.4175973236560821,0.0230998999814577,-0.1541867554187774,0.2840169668197632,0.957721605540456,0.5576118230819702,1.3645881414413452,15954.485222723304,8826.5,23294.0,0.1996551346045058,0.1106594399277326,0.5411947446767199,-0.1610354516061144,-0.3446549773216247,0.1811820715665817,-0.1012060248762045,-0.4175973236560821,0.1694848090410232,0.0505925627797532,-0.0523168891668319,0.1863655596971511,21.4,710.69
bahawalnagar,2000,9,490268.9331207462,0.1476557232245712,0.0841239318251609,0.3473671674728393,0.673915005278851,0.3845658667215985,0.9999705327675624,0.1792240951995238,0.075198046863079,0.3383595943450928,0.1624208020664163,0.0925360338637946,0.3821027570482773,0.0375190385185981,-0.0587823651731014,0.2006863504648208,-0.0375190385185981,-0.2006863504648208,0.0587823651731014,0.1130902212160971,-0.1104769706726074,0.3250138461589813,0.0375190385185981,-0.0587823651731014,0.2006863504648208,0.9293201254987448,0.6657139658927917,1.1249070167541504,15839.620059645831,10605.0,21631.5,0.1973165134519272,0.1116554925219185,0.5313384553174282,-0.1427171540468282,-0.2264844626188278,0.0889088064432144,-0.1130902212160971,-0.3250138461589813,0.1104769706726074,0.0471691302332276,-0.0215299744158983,0.1018984168767929,21.4,710.69
